epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1168,1.03338,1.8534,1.64883,1.31365,0.73137,0.80769,0.81045,0.41859,0.74121,0.82051,0.82775,0.4503,1.70311,2.79254,2.55243,2.80427,0.000661692,0.000661692,0.000661692
2,153.79,1.06558,1.72717,0.87958,1.31953,0.70594,0.79487,0.78225,0.40276,0.69726,0.78205,0.7463,0.3555,1.59674,5.66409,1.43925,1.95885,0.00131959,0.00131959,0.00131959
3,222.401,1.06141,1.72806,0.85048,1.30863,0.85477,0.90546,0.92415,0.51222,0.83126,0.8842,0.87758,0.50204,1.30238,2.51888,2.58508,1.69811,0.00196869,0.00196869,0.00196869
4,292.408,1.02572,1.65096,0.79122,1.30026,0.80591,0.78205,0.83698,0.46068,0.81044,0.75641,0.83693,0.47658,1.42026,2.00937,1.47428,1.71502,0.0019604,0.0019604,0.0019604
5,366.331,1.00851,1.6001,0.76059,1.28006,0.92196,0.91667,0.93712,0.64426,0.92841,0.92308,0.95243,0.62724,1.12902,1.70298,1.04467,1.53306,0.0019472,0.0019472,0.0019472
6,435.273,0.95443,1.54094,0.70979,1.25213,0.9078,0.88361,0.93591,0.62528,0.90225,0.87821,0.93523,0.59969,1.09251,1.83977,0.95097,1.45804,0.001934,0.001934,0.001934
7,503.393,0.94372,1.50424,0.70222,1.24714,0.8752,0.94231,0.93018,0.6793,0.89332,0.96154,0.96624,0.64042,1.01212,1.49086,0.68787,1.36917,0.0019208,0.0019208,0.0019208
8,572.558,0.89173,1.47826,0.66071,1.21956,0.91165,0.9261,0.95159,0.67497,0.92426,0.93874,0.94962,0.62591,0.96354,1.6357,0.63674,1.32174,0.0019076,0.0019076,0.0019076
9,641.786,0.87021,1.39592,0.63574,1.20567,0.92347,0.89103,0.93532,0.64529,0.94401,0.91026,0.95346,0.64255,1.0513,1.52388,0.6864,1.3238,0.0018944,0.0018944,0.0018944
10,712.075,0.87529,1.40329,0.63019,1.20011,0.97271,0.91407,0.96894,0.69234,0.96591,0.90807,0.96279,0.68309,0.99572,1.40764,0.93526,1.34796,0.0018812,0.0018812,0.0018812
11,781.657,0.84275,1.40034,0.60858,1.18811,0.90869,0.92949,0.94169,0.6752,0.90284,0.92308,0.93992,0.66461,0.94455,1.59227,0.72879,1.2476,0.001868,0.001868,0.001868
12,852.195,0.83552,1.33322,0.59321,1.18254,0.89896,0.91253,0.93093,0.66417,0.91779,0.93038,0.95101,0.67655,1.07405,1.39017,0.78184,1.42331,0.0018548,0.0018548,0.0018548
13,921.979,0.81145,1.3385,0.58275,1.17078,0.9309,0.94995,0.96435,0.70538,0.9309,0.94995,0.96137,0.6914,0.89706,1.3994,0.63785,1.22285,0.0018416,0.0018416,0.0018416
14,990.674,0.80766,1.3033,0.56753,1.16768,0.97355,0.94378,0.96551,0.72501,0.97355,0.94378,0.96417,0.67368,0.94302,1.39173,0.68229,1.28943,0.0018284,0.0018284,0.0018284
15,1063.14,0.80576,1.30707,0.57422,1.16958,0.91978,0.92949,0.93631,0.69368,0.90695,0.91667,0.92921,0.67616,0.93221,1.42636,0.72942,1.26102,0.0018152,0.0018152,0.0018152
16,1130.69,0.79797,1.29936,0.55114,1.15387,0.93817,0.97266,0.9821,0.70763,0.9556,0.92308,0.95811,0.69557,0.95833,1.4842,0.53516,1.3305,0.001802,0.001802,0.001802
17,1200.18,0.78066,1.27462,0.53496,1.14958,0.94229,0.94203,0.96949,0.70763,0.9406,0.87821,0.93254,0.70378,0.96739,1.46733,0.58776,1.32268,0.0017888,0.0017888,0.0017888
18,1272.09,0.76217,1.24662,0.53169,1.14305,0.94302,0.95474,0.96535,0.71683,0.92403,0.93563,0.94651,0.69234,0.90267,1.47061,0.58746,1.24891,0.0017756,0.0017756,0.0017756
19,1342.7,0.76144,1.24033,0.53047,1.1484,0.9356,0.93124,0.96841,0.72203,0.94389,0.9359,0.96915,0.73059,0.88828,1.28045,0.53364,1.21889,0.0017624,0.0017624,0.0017624
20,1411.98,0.76195,1.22266,0.5335,1.14725,0.92284,0.92007,0.9482,0.68807,0.9427,0.90385,0.96151,0.67195,0.98673,1.33999,0.63012,1.31255,0.0017492,0.0017492,0.0017492
21,1481.57,0.76922,1.22244,0.54898,1.14659,0.92557,0.95655,0.97304,0.74097,0.91985,0.95633,0.97366,0.7305,0.86717,1.21754,0.6096,1.20968,0.001736,0.001736,0.001736
22,1551.03,0.75348,1.19977,0.53058,1.1393,0.892,0.95513,0.96839,0.73207,0.93459,0.91591,0.97279,0.71066,0.88956,1.36558,0.52645,1.26246,0.0017228,0.0017228,0.0017228
23,1620.79,0.72902,1.18252,0.50246,1.12445,0.93596,0.96154,0.95444,0.72186,0.92941,0.91667,0.92785,0.68895,0.9445,1.45704,0.48452,1.34077,0.0017096,0.0017096,0.0017096
24,1690.85,0.73708,1.17996,0.50529,1.12166,0.97219,0.89644,0.95101,0.69025,0.95147,0.87969,0.92707,0.69049,0.93274,1.23191,0.96793,1.30932,0.0016964,0.0016964,0.0016964
25,1758.76,0.74193,1.17682,0.50388,1.12395,0.95268,0.94872,0.95082,0.73512,0.95912,0.95513,0.96788,0.72952,0.87635,1.25266,0.49954,1.23939,0.0016832,0.0016832,0.0016832
26,1828.85,0.72043,1.1132,0.50076,1.1188,0.94225,0.9414,0.97586,0.7452,0.9359,0.93594,0.96966,0.72798,0.86243,1.37992,0.58821,1.21102,0.00167,0.00167,0.00167
